,size,url
374,8.318259958400001e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_642X525-43p13N-77p63W
143,8.117600404600001e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/roms_forec/hiig/ROMS_Hawaii_Regional_Ocean_Model_best.ncd
142,7.8306654982e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/roms_assim/hiig/ROMS_Hawaii_Regional_Ocean_Model_Assimilation_best.ncd
368,7.668245288e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_382X486-35p00N-104p0W
49,7.447176286400002e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/estuarine_hypoxia/VIMS_EFDC/2004_DO3d
150,7.132271723000001e-14,http://oos.soest.hawaii.edu/thredds/dodsC/pacioos/roms_forec/marig/ROMS_Guam_Regional_Ocean_Model_best.ncd
258,6.93323787e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_with_waves
263,6.93323787e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Rita_2D_final_run_with_waves
266,6.93323787e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Rita_2D_preliminary_run_4_with_waves_without_advection_implicit_1s
219,6.5895453024e-14,http://hfrnet.ucsd.edu/thredds/dodsC/HFRNet/USEGC/6km/hourly/RTV
352,6.446121733599999e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/GFS/Global_0p5deg/Best
383,6.262970042799999e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/RAP/CONUS_13km/Best
386,5.6379600575999997e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/RTMA/CONUS_2p5km/Best
340,5.4044691924e-14,http://thredds.ucar.edu/thredds/dodsC/grib/FNMOC/NAVGEM/Global_0p5deg/Best
377,5.3973604916e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_710X508-45p05N-69p88W
299,5.3830926112e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Tides_only_2D_final_run
301,5.3830926112e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Tides_only_2D_preliminary_run_2_varied_manning_minimum_manning_0.025
300,5.3830926112e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Tides_only_2D_preliminary_run_1_fixed_manning
349,5.3787506196e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/GEFS/Global_1p0deg_Ensemble/members/Best
376,5.1540991923999997e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_678X508-42p57N-72p56W
375,5.0505156104e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_667X506-41p06N-73p37W
152,5.0130684016e-14,http://oos.soest.hawaii.edu/thredds/dodsC/pacioos/roms_forec/samoa/ROMS_Samoa_Regional_Ocean_Model_best.ncd
373,4.8462216103999996e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_635X510-39p35N-76p72W
371,4.8445357507999994e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_448X486-31p59N-96p58W
380,4.794392220800001e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NDFD/CONUS_5km_conduit/Best/LambertConformal_1377X2145-38p22N-95p43W-2
185,4.463989116e-14,http://ona.coas.oregonstate.edu:8080/thredds/dodsC/NANOOS/OCOS
69,4.381945315600001e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_3D_final_run_without_waves
236,4.2636722864000006e-14,http://omgsrv1.meas.ncsu.edu:8080/thredds/dodsC/fmrc/sabgom/SABGOM_Forecast_Model_Run_Collection_best.ncd
175,4.2314564700000006e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/atm/wrf_hi/WRF_Hawaii_Regional_Atmospheric_Model_best.ncd
241,4.228351586400001e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/estuarine_hypoxia/UMCES_ChesROMS-BGC/1991-2005_BGC
370,3.9510405919999997e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_417X478-31p48N-99p94W
369,3.7954903308e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Firewxnest/Best/LambertConformal_396X485-35p20N-102p4W
84,3.7919888392e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/VIMS_SELFE/Hurricane_Rita_3D_final_run_with_waves
304,3.753181072e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_hycom_obc_with_oxygen_hnd_soc_30layers
306,3.753181072e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_ias_obc_with_oxygen_hnd_soc_30layers
307,3.753181072e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_ias_obc_with_oxygen_inst_rem_30layers
305,3.753181072e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_hycom_obc_with_oxygen_inst_rem_30layers
384,3.5534431176000004e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/RAP/CONUS_20km/Best
237,3.5006617368e-14,http://omgsrv1.meas.ncsu.edu:8080/thredds/dodsC/fmrc/us_east/US_East_Forecast_Model_Run_Collection_best.ncd
362,3.4988136219999996e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/CONUS_12km/Best
267,3.4678116108e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Rita_2D_preliminary_run_5_without_waves_and_advection_implicit_1s
259,3.4678116108e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_without_waves
264,3.4678116108e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Rita_2D_final_run_without_waves
357,3.1291237584e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/Alaska_11km/Best
363,2.9842682672e-14,http://thredds.ucar.edu/thredds/dodsC/grib/NCEP/NAM/CONUS_12km/conduit/Best
151,2.8587436744e-14,http://oos.soest.hawaii.edu/thredds/dodsC/pacioos/roms_assim/samoa/ROMS_Samoa_Regional_Ocean_Model_Assimilation_best.ncd
289,2.6910882296e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Ike_3D_final_run_with_waves
290,2.6910882296e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Ike_3D_final_run_without_waves
85,2.5628396296e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/VIMS_SELFE/Hurricane_Rita_3D_final_run_without_waves
303,2.4905028151999998e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_climatology_obc_with_oxygen_hnd_soc_20layers
109,2.4038704351999998e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/shelf_hypoxia/DAL_ROMS/2004-2009_climatology_obc_with_oxygen_inst_rem_20layers
176,2.3933180267999997e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/atm/wrf_mo/WRF_Maui-Oahu_Regional_Atmospheric_Model_best.ncd
166,2.3173583724e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/wav/swan/kauai/SWAN_Kauai_Regional_Wave_Model_best.ncd
173,2.1975595596000004e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/atm/wrf_cnmi/WRF_CNMI_Regional_Atmospheric_Model_best.ncd
293,2.1551577848000003e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Rita_3D_final_run_with_waves
294,2.1551577848000003e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/USF_FVCOM/Hurricane_Rita_3D_final_run_without_waves
79,1.9141219144e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/inundation_tropical/VIMS_SELFE/Hurricane_Ike_3D_final_run_with_waves
221,1.9066403936000004e-14,http://hfrnet.ucsd.edu/thredds/dodsC/HFRNet/USWC/6km/hourly/RTV
242,1.8447459192e-14,http://comt.sura.org/thredds/dodsC/data/comt_1_archive/estuarine_hypoxia/VIMS_CBOFS/2004-2005
164,1.7461013884e-14,http://oos.soest.hawaii.edu/thredds/dodsC/hioos/model/wav/swan/bigi/SWAN_Big_Island_Regional_Wave_Model_best.ncd
